Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Terrion Arnold,0.0,21.0,CB,16,15,199,Jun-00,Alabama,3/22/2003,Rook,5.0,Detroit Lions / 1st / 24th pick / 2024,ArnoTe00
Kayode Awosika,74.0,26.0,G,11,2,315,3-Jun,Buffalo,10/27/1998,3,2.0,NaN,AwosKa00
Jake Bates,39.0,25.0,K,17,0,202,10-May,Texas St.Arkansas,3/3/1999,1,4.0,NaN,BateJa00
Brian Branch,32.0,23.0,DB,16,16,203,Jun-00,Alabama,10/22/2001,1,8.0,Detroit Lions / 2nd / 45th pick / 2023,BranBr00
Teddy Bridgewater,12.0,32.0,QB,0,0,212,2-Jun,Louisville,11/10/1992,10,NaN,Minnesota Vikings / 1st / 32nd pick / 2014,BridTe00
Jack Campbell,46.0,24.0,LB,17,17,243,5-Jun,Iowa,8/22/2000,1,8.0,Detroit Lions / 1st / 18th pick / 2023,CampJa04
Taylor Decker,68.0,31.0,T,14,14,318,7-Jun,Ohio St.,8/23/1993,8,10.0,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
Jack Fox,3.0,28.0,P,17,0,218,2-Jun,Rice,9/1/1996,4,3.0,NaN,FoxxJa01
Jahmyr Gibbs,26.0,22.0,RB,17,4,200,9-May,Georgia TechAlabama,3/20/2002,1,17.0,Detroit Lions / 1st / 12th pick / 2023,GibbJa01
Graham Glasgow,60.0,32.0,OL,16,16,315,6-Jun,Michigan,7/19/1992,8,8.0,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
Jared Goff,16.0,30.0,QB,17,17,217,4-Jun,California,10/14/1994,8,18.0,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
Hogan Hatten,49.0,24.0,LS,17,0,239,2-Jun,Idaho,8/6/2000,Rook,1.0,NaN,HattHo00
Hendon Hooker,2.0,26.0,QB,3,0,220,3-Jun,Virginia TechTennessee,1/13/1998,1,0.0,Detroit Lions / 3rd / 68th pick / 2023,HookHe00
Kerby Joseph,31.0,24.0,S,17,17,203,1-Jun,Illinois,11/14/2000,2,14.0,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
Sam LaPorta,87.0,23.0,TE,16,16,245,3-Jun,Iowa,1/12/2001,1,8.0,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01
Christian Mahogany,73.0,24.0,OL,7,1,319,3-Jun,Boston Col.,10/11/2000,Rook,1.0,Detroit Lions / 6th / 210th pick / 2024,MahoCh00
Giovanni Manu,59.0,23.0,OL,0,0,354,7-Jun,British Columbia,1/26/2001,Rook,NaN,Detroit Lions / 4th / 126th pick / 2024,ManuGi00
Brodric Martin,96.0,25.0,DL,2,1,330,5-Jun,North AlabamaWestern Kentucky,5/24/1999,1,1.0,Detroit Lions / 3rd / 96th pick / 2023,MartBr00
Ifeatu Melifonwu,6.0,25.0,S,3,3,210,3-Jun,Syracuse,5/2/1999,3,1.0,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00
David Montgomery,5.0,27.0,RB,14,14,224,11-May,Iowa St.,6/7/1997,5,10.0,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
Al-Quadin Muhammad,69.0,29.0,DL,9,2,250,3-Jun,Miami (FL),3/28/1995,7,2.0,New Orleans Saints / 6th / 196th pick / 2017,MuhaAl00
Ben Niemann,51.0,29.0,LB,17,4,235,2-Jun,Iowa,7/27/1995,6,3.0,NaN,NiemBe00
Michael Niese,62.0,26.0,OL,17,0,295,5-Jun,DaytonTemple,1/13/1998,1,1.0,NaN,NiesMi00
Morice Norris,40.0,24.0,S,2,0,198,11-May,Fresno St.,9/27/2000,Rook,0.0,NaN,NorrMo01
Trevor Nowaske,53.0,26.0,LB,14,2,235,3-Jun,Saginaw Valley St.,11/7/1998,1,2.0,NaN,NowaTr00
Pat O'Connor,95.0,31.0,DL,12,0,270,4-Jun,Eastern Michigan,11/1/1993,7,1.0,Detroit Lions / 7th / 250th pick / 2017,OConPa00
Levi Onwuzurike,91.0,26.0,DL,16,10,290,3-Jun,Washington,3/2/1998,3,5.0,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00
Josh Paschal,93.0,25.0,DL,14,10,274,3-Jun,Kentucky,12/17/1999,2,5.0,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
Tim Patrick,17.0,31.0,WR,16,9,212,4-Jun,Utah,11/23/1993,6,4.0,NaN,PatrTi00
Anthony Pittman,NaN,28.0,LB,3,0,224,3-Jun,Wayne State (MI),11/24/1996,5,0.0,NaN,PittAn01
Frank Ragnow,77.0,28.0,C,16,16,310,5-Jun,Arkansas,5/17/1996,6,12.0,Detroit Lions / 1st / 20th pick / 2018,RagnFr00
Kalif Raymond,11.0,30.0,WR,12,2,180,8-May,Holy Cross,8/8/1994,8,3.0,NaN,RaymKa00
D.J. Reader,98.0,30.0,DL,15,15,335,3-Jun,Clemson,7/1/1994,8,7.0,Houston Texans / 5th / 166th pick / 2016,ReadD.00
Jalen Reeves-Maybin,42.0,29.0,LB,10,0,226,1-Jun,Tennessee,1/31/1995,7,1.0,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
Craig Reynolds,13.0,28.0,RB,17,0,216,11-May,Kutztown (PA),6/15/1996,5,1.0,NaN,ReynCr00
Amik Robertson,21.0,26.0,CB,17,4,183,9-May,Louisiana Tech,7/6/1998,4,2.0,Las Vegas Raiders / 4th / 139th pick / 2020,RobeAm00
Allen Robinson,8.0,31.0,WR,12,0,210,2-Jun,Penn St.,8/24/1993,10,0.0,Jacksonville Jaguars / 2nd / 61st pick / 2014,RobiAl02
Penei Sewell,58.0,24.0,T,17,17,335,5-Jun,Oregon,10/9/2000,3,18.0,Detroit Lions / 1st / 7th pick / 2021,SewePe00
Dan Skipper,70.0,30.0,T,17,5,330,9-Jun,Arkansas,9/20/1994,7,4.0,NaN,SkipDa00
Za'Darius Smith,NaN,32.0,DL,8,7,270,4-Jun,East Mississippi CCKentucky,9/8/1992,9,4.0,Baltimore Ravens / 4th / 122nd pick / 2015,SmitZa00
Colby Sorsdal,75.0,24.0,OL,1,0,315,6-Jun,William & Mary,3/1/2000,1,0.0,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00
Amon-Ra St. Brown,14.0,25.0,WR,17,17,202,Jun-00,USC,10/24/1999,3,14.0,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
Zeke Turner,47.0,28.0,LB,9,0,214,2-Jun,Washington,6/9/1996,6,1.0,NaN,TurnZe00
Sione Vaki,33.0,23.0,RB,16,0,213,11-May,Utah,7/30/2001,Rook,1.0,Detroit Lions / 4th / 132nd pick / 2024,VakiSi00
Kindle Vildor,29.0,27.0,CB,17,2,189,11-May,Georgia Southern,12/11/1997,4,2.0,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
Jameson Williams,9.0,23.0,WR,15,11,180,1-Jun,Ohio St.Alabama,3/26/2001,2,11.0,Detroit Lions / 1st / 12th pick / 2022,WillJa11
Jonah Williams,NaN,29.0,DL,2,1,275,5-Jun,Weber St.,8/17/1995,3,1.0,NaN,WillJo16
Brock Wright,89.0,26.0,TE,17,8,250,5-Jun,Notre Dame,11/27/1998,3,1.0,NaN,WrigBr01
Kevin Zeitler,71.0,34.0,G,16,16,340,4-Jun,Wisconsin,3/8/1990,12,8.0,Cincinnati Bengals / 1st / 27th pick / 2012,ZeitKe00
Shane Zylstra,84.0,28.0,TE,12,1,240,4-Jun,Minnesota St.,11/16/1996,3,0.0,NaN,ZylsSh00
Emmanuel Moseley (NON),4.0,28.0,CB,2,0,195,11-May,Tennessee,3/25/1996,6,0.0,NaN,MoseEm00
Ennis Rakestraw (IRD),15.0,22.0,CB,8,0,191,11-May,Missouri,6/5/2002,Rook,0.0,Detroit Lions / 2nd / 61st pick / 2024,RakeEn00
Michael Badgley (IR),17.0,29.0,K,0,0,188,10-May,Miami (FL),7/28/1995,6,NaN,NaN,BadgMi00
Derrick Barnes (IR),55.0,25.0,LB,3,3,240,Jun-00,Purdue,5/29/1999,3,1.0,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
John Cominsky (IR),79.0,29.0,DL,0,0,285,5-Jun,Charleston (WV),11/22/1995,5,NaN,Atlanta Falcons / 4th / 135th pick / 2019,ComiJo00
Marcus Davenport (IR),92.0,28.0,DL,2,1,265,6-Jun,Texas-San Antonio,9/4/1996,6,1.0,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
Carlton Davis (IR),23.0,28.0,CB,13,13,206,1-Jun,Auburn,12/31/1996,6,5.0,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
Khalil Dorsey (IR),30.0,26.0,CB,14,1,185,8-May,Northern Arizona,3/31/1998,4,1.0,NaN,DorsKh00
Connor Galvin (IR),76.0,24.0,OL,0,0,300,7-Jun,Baylor,3/11/2000,1,NaN,NaN,GalvCo00
Antoine Green (IR),18.0,25.0,WR,0,0,199,2-Jun,North Carolina,11/15/1999,1,NaN,Detroit Lions / 7th / 219th pick / 2023,GreeAn00
Aidan Hutchinson (IR),97.0,24.0,DL,5,5,268,7-Jun,Michigan,8/9/2000,2,3.0,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
Nate Lynn (IR),57.0,22.0,DL,0,0,256,3-Jun,William & Mary,7/6/2002,Rook,NaN,NaN,LynnNa00
Alim McNeill (IR),54.0,24.0,DL,14,14,315,2-Jun,North Carolina St.,5/11/2000,3,7.0,Detroit Lions / 3rd / 72nd pick / 2021,McNeAl00
Netane Muti (IR),52.0,25.0,G,0,0,315,3-Jun,Fresno St.,3/27/1999,4,NaN,Denver Broncos / 6th / 181st pick / 2020,MutiNe00
Kyle Peko (IR),96.0,31.0,DL,5,1,305,1-Jun,Oregon St.,7/23/1993,8,1.0,NaN,PekoKy00
Malcolm Rodriguez (IR),44.0,25.0,LB,10,6,234,11-May,Oklahoma St.,3/29/1999,2,3.0,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
Mekhi Wingo (IR),94.0,21.0,DL,11,0,291,Jun-00,MissouriLSU,4/17/2003,Rook,1.0,Detroit Lions / 6th / 189th pick / 2024,WingMe00
Abraham Beauplan (FRES),48.0,24.0,LB,3,0,235,2-Jun,NavarroMarshall,2/3/2000,1,0.0,NaN,BeauAb00
Ronnie Bell (FRES),NaN,24.0,WR,0,0,190,Jun-00,Michigan,1/28/2000,1,NaN,San Francisco 49ers / 7th / 253rd pick / 2023,BellRo01
Kingsley Eguakun (FRES),65.0,23.0,C,0,0,307,3-Jun,Florida,3/23/2001,Rook,NaN,NaN,EguaKi00
Jake Fromm (FRES),18.0,26.0,QB,0,0,215,2-Jun,Georgia,7/30/1998,3,NaN,Buffalo Bills / 5th / 167th pick / 2020,FromJa00
DaRon Gilbert (FRES),43.0,23.0,LB,0,0,218,1-Jun,Northern Illinois,5/26/2001,Rook,NaN,NaN,GilbDa00
Erick Hallett (FRES),NaN,24.0,S,0,0,190,11-May,Pittsburgh,4/24/2000,Rook,NaN,Jacksonville Jaguars / 6th / 208th pick / 2023,HallEr00
Jamarco Jones (FRES),72.0,28.0,T,2,0,293,4-Jun,Ohio St.,6/4/1996,5,0.0,Seattle Seahawks / 5th / 168th pick / 2018,JoneJa08
Tom Kennedy (FRES),85.0,28.0,WR,4,0,195,10-May,Bryant,7/29/1996,5,0.0,NaN,KennTo01
Chris Smith (FRES),90.0,25.0,DL,5,0,305,1-Jun,HarvardNotre Dame,12/15/1999,1,0.0,NaN,SmitCh06
Loren Strickland (FRES),24.0,24.0,S,7,0,202,10-May,IndianapolisBall St.,5/31/2000,Rook,0.0,NaN,StriLo00
Stantley Thomas-Oliver (FRES),38.0,26.0,CB,1,0,190,Jun-00,Florida International,6/4/1998,4,0.0,Carolina Panthers / 7th / 221st pick / 2020,ThomSt00
Isaac Ukwu (FRES),45.0,25.0,DL,2,1,258,3-Jun,James MadisonMississippi,1/14/1999,Rook,1.0,NaN,UkwuIs00
Jaire Alexander,23.0,27.0,CB,7,7,196,10-May,Louisville,2/9/1997,6,3.0,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00
Zayne Anderson,39.0,27.0,S,16,2,206,2-Jun,BYU,1/3/1997,3,2.0,NaN,AndeZa02
Corey Ballentine,26.0,28.0,CB,15,1,196,11-May,Washburn,4/13/1996,5,1.0,New York Giants / 6th / 180th pick / 2019,BallCo00
Chris Brooks,30.0,24.0,RB,15,0,226,1-Jun,CaliforniaBYU,1/11/2000,1,2.0,NaN,BrooCh00
Karl Brooks,94.0,24.0,DL,17,0,296,3-Jun,Bowling Green,5/8/2000,1,3.0,Green Bay Packers / 6th / 179th pick / 2023,BrooKa00
Javon Bullard,20.0,22.0,S,15,11,198,10-May,Georgia,9/5/2002,Rook,4.0,Green Bay Packers / 2nd / 58th pick / 2024,BullJa00
Kenny Clark,97.0,29.0,DL,17,17,314,3-Jun,UCLA,10/4/1995,8,9.0,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
Sean Clifford,6.0,26.0,QB,0,0,218,2-Jun,Penn St.,7/14/1998,1,NaN,Green Bay Packers / 5th / 149th pick / 2023,ClifSe00
Edgerrin Cooper,56.0,23.0,LB,14,4,229,2-Jun,Texas A&M,11/17/2001,Rook,4.0,Green Bay Packers / 2nd / 45th pick / 2024,CoopEd00
Brenton Cox,57.0,24.0,DL,7,0,250,4-Jun,GeorgiaFlorida,1/30/2000,1,1.0,NaN,CoxxBr02
LJ Davis,40.0,26.0,CB,0,0,203,1-Jun,Northern Arizona,12/30/1998,Rook,NaN,NaN,DaviLJ00
Tyler Davis,84.0,27.0,TE,0,0,252,4-Jun,ConnecticutGeorgia Tech,4/2/1997,4,NaN,Jacksonville Jaguars / 6th / 206th pick / 2020,DaviTy02
Andre Dillard,73.0,29.0,T,10,0,315,5-Jun,Washington St.,10/3/1995,5,1.0,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00
AJ Dillon,28.0,26.0,RB,0,0,247,Jun-00,Boston Col.,5/2/1998,4,NaN,Green Bay Packers / 2nd / 62nd pick / 2020,DillAJ00
Romeo Doubs,87.0,24.0,WR,13,12,204,2-Jun,Nevada,4/13/2000,2,6.0,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
Kingsley Enagbare,55.0,24.0,DL,17,7,258,4-Jun,South Carolina,1/18/2000,2,4.0,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
John FitzPatrick,NaN,24.0,TE,9,0,250,7-Jun,Georgia,3/9/2000,1,0.0,Atlanta Falcons / 6th / 213th pick / 2022,FitzJo00
Rashan Gary,52.0,27.0,DL,17,17,277,5-Jun,Michigan,12/3/1997,5,12.0,Green Bay Packers / 1st / 12th pick / 2019,GaryRa00
Travis Glover,79.0,24.0,T,7,0,317,6-Jun,Georgia St.,8/17/2000,Rook,1.0,Green Bay Packers / 6th / 202nd pick / 2024,GlovTr00
Malik Heath,18.0,24.0,WR,13,1,213,2-Jun,Copiah-Lincoln CCMississippi St.Mississippi,3/3/2000,1,1.0,NaN,HeatMa00
Ty'Ron Hopper,59.0,23.0,LB,17,0,228,2-Jun,FloridaMissouri,4/26/2001,Rook,1.0,Green Bay Packers / 3rd / 91st pick / 2024,HoppTy00
Josh Jacobs,8.0,26.0,RB,17,17,223,10-May,Alabama,2/11/1998,5,12.0,Oakland Raiders / 1st / 24th pick / 2019,JacoJo01
Elgton Jenkins,74.0,29.0,OL,17,17,311,5-Jun,Mississippi St.,12/26/1995,5,9.0,Green Bay Packers / 2nd / 44th pick / 2019,JenkEl00
Tucker Kraft,85.0,24.0,TE,17,17,259,5-Jun,South Dakota St.,11/3/2000,1,7.0,Green Bay Packers / 3rd / 78th pick / 2023,KrafTu00
MarShawn Lloyd,32.0,23.0,RB,1,0,220,9-May,South CarolinaUSC,1/5/2001,Rook,0.0,Green Bay Packers / 3rd / 88th pick / 2024,LloyMa00
Jordan Love,10.0,26.0,QB,15,15,219,4-Jun,Utah St.,11/2/1998,3,12.0,Green Bay Packers / 1st / 26th pick / 2020,LoveJo03
Isaiah McDuffie,58.0,25.0,LB,17,17,227,1-Jun,Boston Col.,7/21/1999,3,8.0,Green Bay Packers / 6th / 220th pick / 2021,McDuIs00
Xavier McKinney,29.0,26.0,S,17,17,201,Jun-00,Alabama,8/8/1998,4,15.0,New York Giants / 2nd / 36th pick / 2020,McKiXa00
Brandon McManus,NaN,33.0,K,11,0,201,3-Jun,Temple,7/25/1991,10,3.0,NaN,McMaBr01
Bo Melton,80.0,25.0,WR,17,0,189,11-May,Rutgers,5/18/1999,1,1.0,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
Ellis Merriweather,38.0,25.0,RB,0,0,220,1-Jun,UMass,4/7/1999,Rook,NaN,NaN,MerrEl00
Jacob Monk,62.0,23.0,OL,10,0,308,3-Jun,Duke,6/4/2001,Rook,1.0,Green Bay Packers / 5th / 163rd pick / 2024,MonkJa00
Jordan Morgan,77.0,23.0,OT,6,1,311,5-Jun,Arizona,8/4/2001,Rook,1.0,Green Bay Packers / 1st / 25th pick / 2024,MorgJo03
Arron Mosby,53.0,25.0,DL,16,0,250,3-Jun,Fresno St.,4/13/1999,2,1.0,NaN,MosbAr00
Luke Musgrave,88.0,24.0,TE,7,3,253,6-Jun,Oregon St.,9/2/2000,1,0.0,Green Bay Packers / 2nd / 42nd pick / 2023,MusgLu00
Josh Myers,71.0,26.0,OL,16,16,310,5-Jun,Ohio St.,7/16/1998,3,8.0,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00
Keisean Nixon,25.0,27.0,CB,17,15,200,10-May,South Carolina,6/22/1997,5,6.0,NaN,NixoKe00
Kitan Oladapo,27.0,24.0,S,9,0,216,2-Jun,Oregon St.,10/10/2000,Rook,1.0,Green Bay Packers / 5th / 169th pick / 2024,OladKi00
Matthew Orzech,NaN,29.0,LS,17,0,245,3-Jun,Azusa Pacific,4/12/1995,5,1.0,NaN,OrzeMa00
Jayden Reed,11.0,24.0,WR,17,10,187,11-May,Western MichiganMichigan St.,4/28/2000,1,9.0,Green Bay Packers / 2nd / 50th pick / 2023,ReedJa03
Sean Rhyan,75.0,24.0,G,17,17,321,5-Jun,UCLA,9/15/2000,2,9.0,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00
Robert Rochell,22.0,26.0,CB,11,0,193,Jun-00,Central Arkansas,4/26/1998,3,1.0,Los Angeles Rams / 4th / 130th pick / 2021,RochRo00
Ben Sims,89.0,24.0,TE,17,5,250,5-Jun,Baylor,5/16/2000,1,0.0,NaN,SimsBe00
Tedarrell Slaton,93.0,27.0,DL,17,17,330,4-Jun,Florida,10/3/1997,3,8.0,Green Bay Packers / 5th / 173rd pick / 2021,SlatTe00
Eric Stokes,21.0,25.0,CB,17,7,194,1-Jun,Georgia,3/1/1999,3,3.0,Green Bay Packers / 1st / 29th pick / 2021,StokEr00
Kadeem Telfort,76.0,26.0,T,16,0,322,6-Jun,FloridaGarden City (KS)Ala-Birmingham,11/10/1998,1,1.0,NaN,TelfKa00
Zach Tom,50.0,25.0,OL,17,17,304,4-Jun,Wake Forest,3/26/1999,2,9.0,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00
Carrington Valentine,24.0,23.0,CB,15,7,189,Jun-00,Kentucky,9/9/2001,1,3.0,Green Bay Packers / 7th / 232nd pick / 2023,ValeCa00
Lukas Van Ness,90.0,23.0,DL,17,0,272,5-Jun,Iowa,7/6/2001,1,2.0,Green Bay Packers / 1st / 13th pick / 2023,VanNLu00
Quay Walker,7.0,24.0,LB,13,13,241,4-Jun,Georgia,5/8/2000,2,6.0,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00
Rasheed Walker,63.0,24.0,T,17,17,324,6-Jun,Penn St.,2/13/2000,2,10.0,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00
Christian Watson,9.0,25.0,WR,15,15,208,4-Jun,North Dakota St.,5/12/1999,2,6.0,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00
Daniel Whelan,19.0,25.0,P,17,0,216,5-Jun,UC Davis,2/10/1999,1,2.0,NaN,WhelDa00
Dontayvion Wicks,13.0,23.0,WR,17,5,206,1-Jun,Virginia,6/16/2001,1,4.0,Green Bay Packers / 5th / 159th pick / 2023,WickDo00
Evan Williams,33.0,23.0,S,13,6,200,11-May,Fresno St.Oregon,7/28/2001,Rook,3.0,Green Bay Packers / 4th / 111th pick / 2024,WillEv00
Malik Willis,2.0,25.0,QB,7,2,219,1-Jun,AuburnLiberty,5/25/1999,2,3.0,Tennessee Titans / 3rd / 86th pick / 2022,WillMa12
Emanuel Wilson,31.0,25.0,RB,17,0,226,10-May,Johnson C. SmithFort Valley St.,5/8/1999,1,4.0,NaN,WilsEm00
Eric Wilson,45.0,30.0,LB,17,12,230,1-Jun,Cincinnati,9/26/1994,7,6.0,NaN,WilsEr00
Colby Wooden,96.0,24.0,DL,13,1,273,4-Jun,Auburn,12/21/2000,1,1.0,Green Bay Packers / 4th / 116th pick / 2023,WoodCo01
Devonte Wyatt,95.0,26.0,DL,14,0,304,3-Jun,Hutchinson (KS)Georgia,3/31/1998,2,2.0,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00
Deslin Alexandre (FRES),49.0,26.0,DL,0,0,264,3-Jun,Pittsburgh,6/11/1998,Rook,NaN,NaN,AlexDe02
Omar Brown (FRES),40.0,24.0,S,2,0,200,1-Jun,Northern IowaNebraska,10/12/2000,Rook,0.0,NaN,BrowOm01
Isaiah Dunn (FRES),NaN,25.0,CB,0,0,193,Jun-00,Oregon St.,1/31/1999,3,NaN,NaN,DunnIs00
James Ester (FRES),65.0,23.0,DL,0,0,289,3-Jun,Northern Illinois,8/30/2001,Rook,NaN,NaN,EsteJa00
Lideatrick Griffin (FRES),NaN,23.0,WR,0,0,180,10-May,Mississippi St.,1/23/2001,Rook,NaN,NaN,GrifLi00
Kamal Hadden (FRES),36.0,23.0,CB,2,0,192,1-Jun,Independence (KS)Tennessee,1/17/2001,Rook,0.0,Kansas City Chiefs / 6th / 211th pick / 2024,HaddKa00
Alex Hale (FRES),16.0,NaN,K,0,0,203,1-Jun,Oklahoma State,NaN,Rook,NaN,NaN,HaleAl00
Kaleb Hayes (FRES),NaN,25.0,CB,0,0,195,Jun-00,BYU,3/19/1999,Rook,NaN,NaN,HayeKa00
Marquis Hayes (FRES),78.0,25.0,OG,0,0,318,5-Jun,Oklahoma,2/14/1999,Rook,NaN,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00
Julian Hicks (FRES),81.0,25.0,WR,0,0,201,2-Jun,Albany,9/29/1999,Rook,NaN,NaN,HickJu01
Trey Hill (FRES),NaN,24.0,C,0,0,335,4-Jun,Georgia,1/23/2000,3,NaN,Cincinnati Bengals / 6th / 190th pick / 2021,HillTr03
Donovan Jennings (FRES),67.0,25.0,OL,0,0,323,4-Jun,South Florida,11/24/1999,Rook,NaN,NaN,JennDo00
Cornelius Johnson (FRES),83.0,24.0,WR,0,0,208,3-Jun,Michigan,11/29/2000,Rook,NaN,Los Angeles Chargers / 7th / 253rd pick / 2024,JohnCo02
Kalen King (FRES),34.0,21.0,CB,0,0,190,11-May,Penn St.,1/28/2003,Rook,NaN,Green Bay Packers / 7th / 255th pick / 2024,KingKa00
Johnny Lumpkin (FRES),NaN,27.0,TE,0,0,268,6-Jun,Louisiana,9/3/1997,Rook,NaN,NaN,LumpJo00
Jeremiah Martin (FRES),51.0,24.0,DL,0,0,267,4-Jun,Texas A&MWashington,7/10/2000,Rook,NaN,NaN,MartJe00
Leonard Payne (FRES),NaN,24.0,DT,0,0,301,3-Jun,Colorado,9/15/2000,Rook,NaN,NaN,PaynLe00
Keith Randolph (FRES),NaN,NaN,DL,0,0,300,5-Jun,Illinois,NaN,Rook,NaN,NaN,RandKe01
Nesta Jade Silvera (FRES),NaN,24.0,DT,0,0,315,2-Jun,Miami (FL)Arizona St.,1/23/2000,1,NaN,Las Vegas Raiders / 7th / 231st pick / 2023,JadeNe00
Messiah Swinson (FRES),48.0,24.0,TE,0,0,259,7-Jun,Arizona St.,4/20/2000,Rook,NaN,NaN,SwinMe00
